SubscriptionName,SubscriptionGuid,Date,ResourceGuid,ServiceName,ServiceType,ServiceRegion,ServiceResource,Quantity,Cost
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/18/2025","4f1584dd-ae6a-5dae-8748-0bf974002a68","Azure App Service","Static Web","AP East","Standard App","0.03288","0.295896"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/19/2025","4f1584dd-ae6a-5dae-8748-0bf974002a68","Azure App Service","Static Web","AP East","Standard App","0.03288","0.295896"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/20/2025","4f1584dd-ae6a-5dae-8748-0bf974002a68","Azure App Service","Static Web","AP East","Standard App","0.03288","0.295896"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/21/2025","4f1584dd-ae6a-5dae-8748-0bf974002a68","Azure App Service","Static Web","AP East","Standard App","0.03288","0.295896"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/22/2025","4f1584dd-ae6a-5dae-8748-0bf974002a68","Azure App Service","Static Web","AP East","Standard App","0.03288","0.295896"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/23/2025","4f1584dd-ae6a-5dae-8748-0bf974002a68","Azure App Service","Static Web","AP East","Standard App","0.03288","0.295896"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/24/2025","4f1584dd-ae6a-5dae-8748-0bf974002a68","Azure App Service","Static Web","AP East","Standard App","0.03288","0.295896"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/25/2025","4f1584dd-ae6a-5dae-8748-0bf974002a68","Azure App Service","Static Web","AP East","Standard App","0.03288","0.295896"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/26/2025","4f1584dd-ae6a-5dae-8748-0bf974002a68","Azure App Service","Static Web","AP East","Standard App","0.03288","0.295896"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/27/2025","4f1584dd-ae6a-5dae-8748-0bf974002a68","Azure App Service","Static Web","AP East","Standard App","0.03288","0.295896"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/28/2025","4f1584dd-ae6a-5dae-8748-0bf974002a68","Azure App Service","Static Web","AP East","Standard App","0.03288","0.295896"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/29/2025","4f1584dd-ae6a-5dae-8748-0bf974002a68","Azure App Service","Static Web","AP East","Standard App","0.03288","0.295896"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/30/2025","4f1584dd-ae6a-5dae-8748-0bf974002a68","Azure App Service","Static Web","AP East","Standard App","0.03288","0.295896"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/31/2025","4f1584dd-ae6a-5dae-8748-0bf974002a68","Azure App Service","Static Web","AP East","Standard App","0.01644","0.147948"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/1/2025","2a384075-01d7-4f66-a84a-0eed3ca58876","Functions","All","All","Standard Execution Time","14.92125","0.000237"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/2/2025","2a384075-01d7-4f66-a84a-0eed3ca58876","Functions","All","All","Standard Execution Time","14.734","0.000235"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/3/2025","2a384075-01d7-4f66-a84a-0eed3ca58876","Functions","All","All","Standard Execution Time","15.40975","0.000246"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/4/2025","2a384075-01d7-4f66-a84a-0eed3ca58876","Functions","All","All","Standard Execution Time","15.00225","0.000240"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/5/2025","2a384075-01d7-4f66-a84a-0eed3ca58876","Functions","All","All","Standard Execution Time","15.5125","0.000247"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/6/2025","2a384075-01d7-4f66-a84a-0eed3ca58876","Functions","All","All","Standard Execution Time","14.83075","0.000237"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/7/2025","2a384075-01d7-4f66-a84a-0eed3ca58876","Functions","All","All","Standard Execution Time","15.46125","0.000248"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/8/2025","2a384075-01d7-4f66-a84a-0eed3ca58876","Functions","All","All","Standard Execution Time","15.029","0.000240"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/9/2025","2a384075-01d7-4f66-a84a-0eed3ca58876","Functions","All","All","Standard Execution Time","15.11125","0.000242"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/10/2025","2a384075-01d7-4f66-a84a-0eed3ca58876","Functions","All","All","Standard Execution Time","14.62975","0.000233"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/11/2025","2a384075-01d7-4f66-a84a-0eed3ca58876","Functions","All","All","Standard Execution Time","14.72975","0.000234"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/12/2025","2a384075-01d7-4f66-a84a-0eed3ca58876","Functions","All","All","Standard Execution Time","14.749","0.000235"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/13/2025","2a384075-01d7-4f66-a84a-0eed3ca58876","Functions","All","All","Standard Execution Time","14.81675","0.000238"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/14/2025","2a384075-01d7-4f66-a84a-0eed3ca58876","Functions","All","All","Standard Execution Time","14.50325","0.000232"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/15/2025","2a384075-01d7-4f66-a84a-0eed3ca58876","Functions","All","All","Standard Execution Time","14.408","0.000234"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/16/2025","2a384075-01d7-4f66-a84a-0eed3ca58876","Functions","All","All","Standard Execution Time","14.436","0.000234"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/17/2025","2a384075-01d7-4f66-a84a-0eed3ca58876","Functions","All","All","Standard Execution Time","14.43025","0.000234"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/18/2025","2a384075-01d7-4f66-a84a-0eed3ca58876","Functions","All","All","Standard Execution Time","14.52425","0.000236"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/19/2025","2a384075-01d7-4f66-a84a-0eed3ca58876","Functions","All","All","Standard Execution Time","14.441125","0.000235"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/20/2025","2a384075-01d7-4f66-a84a-0eed3ca58876","Functions","All","All","Standard Execution Time","14.104","0.000228"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/21/2025","2a384075-01d7-4f66-a84a-0eed3ca58876","Functions","All","All","Standard Execution Time","14.602","0.000237"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/22/2025","2a384075-01d7-4f66-a84a-0eed3ca58876","Functions","All","All","Standard Execution Time","14.55875","0.000236"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/23/2025","2a384075-01d7-4f66-a84a-0eed3ca58876","Functions","All","All","Standard Execution Time","14.4585","0.000235"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/24/2025","2a384075-01d7-4f66-a84a-0eed3ca58876","Functions","All","All","Standard Execution Time","14.1305","0.000228"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/25/2025","2a384075-01d7-4f66-a84a-0eed3ca58876","Functions","All","All","Standard Execution Time","14.43425","0.000234"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/26/2025","2a384075-01d7-4f66-a84a-0eed3ca58876","Functions","All","All","Standard Execution Time","14.23625","0.000230"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/27/2025","2a384075-01d7-4f66-a84a-0eed3ca58876","Functions","All","All","Standard Execution Time","14.4615","0.000235"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/28/2025","2a384075-01d7-4f66-a84a-0eed3ca58876","Functions","All","All","Standard Execution Time","14.27475","0.000231"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/29/2025","2a384075-01d7-4f66-a84a-0eed3ca58876","Functions","All","All","Standard Execution Time","14.7195","0.000239"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/30/2025","2a384075-01d7-4f66-a84a-0eed3ca58876","Functions","All","All","Standard Execution Time","14.57275","0.000236"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/31/2025","2a384075-01d7-4f66-a84a-0eed3ca58876","Functions","All","All","Standard Execution Time","7.3645","0.000120"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/1/2025","39b0e164-2218-447c-9334-0ef622498186","Storage","Premium SSD Managed Disks","IN Central","P6 LRS Disk","0.064512","0.658464"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/2/2025","39b0e164-2218-447c-9334-0ef622498186","Storage","Premium SSD Managed Disks","IN Central","P6 LRS Disk","0.041664","0.425258"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/3/2025","39b0e164-2218-447c-9334-0ef622498186","Storage","Premium SSD Managed Disks","IN Central","P6 LRS Disk","0.032256","0.329232"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/4/2025","39b0e164-2218-447c-9334-0ef622498186","Storage","Premium SSD Managed Disks","IN Central","P6 LRS Disk","0.032256","0.329232"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/5/2025","39b0e164-2218-447c-9334-0ef622498186","Storage","Premium SSD Managed Disks","IN Central","P6 LRS Disk","0.032256","0.329232"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/6/2025","39b0e164-2218-447c-9334-0ef622498186","Storage","Premium SSD Managed Disks","IN Central","P6 LRS Disk","0.032256","0.329232"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/7/2025","39b0e164-2218-447c-9334-0ef622498186","Storage","Premium SSD Managed Disks","IN Central","P6 LRS Disk","0.032256","0.329232"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/8/2025","39b0e164-2218-447c-9334-0ef622498186","Storage","Premium SSD Managed Disks","IN Central","P6 LRS Disk","0.032256","0.329232"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/9/2025","39b0e164-2218-447c-9334-0ef622498186","Storage","Premium SSD Managed Disks","IN Central","P6 LRS Disk","0.032256","0.329232"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/10/2025","39b0e164-2218-447c-9334-0ef622498186","Storage","Premium SSD Managed Disks","IN Central","P6 LRS Disk","0.032256","0.329232"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/11/2025","39b0e164-2218-447c-9334-0ef622498186","Storage","Premium SSD Managed Disks","IN Central","P6 LRS Disk","0.032256","0.329232"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/12/2025","39b0e164-2218-447c-9334-0ef622498186","Storage","Premium SSD Managed Disks","IN Central","P6 LRS Disk","0.032256","0.329232"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/13/2025","39b0e164-2218-447c-9334-0ef622498186","Storage","Premium SSD Managed Disks","IN Central","P6 LRS Disk","0.032256","0.329232"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/14/2025","39b0e164-2218-447c-9334-0ef622498186","Storage","Premium SSD Managed Disks","IN Central","P6 LRS Disk","0.032256","0.329232"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/15/2025","39b0e164-2218-447c-9334-0ef622498186","Storage","Premium SSD Managed Disks","IN Central","P6 LRS Disk","0.032256","0.329232"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/16/2025","39b0e164-2218-447c-9334-0ef622498186","Storage","Premium SSD Managed Disks","IN Central","P6 LRS Disk","0.032256","0.329232"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/17/2025","39b0e164-2218-447c-9334-0ef622498186","Storage","Premium SSD Managed Disks","IN Central","P6 LRS Disk","0.032256","0.329232"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/18/2025","39b0e164-2218-447c-9334-0ef622498186","Storage","Premium SSD Managed Disks","IN Central","P6 LRS Disk","0.032256","0.329232"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/19/2025","39b0e164-2218-447c-9334-0ef622498186","Storage","Premium SSD Managed Disks","IN Central","P6 LRS Disk","0.032256","0.329232"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/20/2025","39b0e164-2218-447c-9334-0ef622498186","Storage","Premium SSD Managed Disks","IN Central","P6 LRS Disk","0.032256","0.329232"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/21/2025","39b0e164-2218-447c-9334-0ef622498186","Storage","Premium SSD Managed Disks","IN Central","P6 LRS Disk","0.032256","0.329232"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/22/2025","39b0e164-2218-447c-9334-0ef622498186","Storage","Premium SSD Managed Disks","IN Central","P6 LRS Disk","0.032256","0.329232"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/23/2025","39b0e164-2218-447c-9334-0ef622498186","Storage","Premium SSD Managed Disks","IN Central","P6 LRS Disk","0.032256","0.329232"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/24/2025","39b0e164-2218-447c-9334-0ef622498186","Storage","Premium SSD Managed Disks","IN Central","P6 LRS Disk","0.032256","0.329232"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/25/2025","39b0e164-2218-447c-9334-0ef622498186","Storage","Premium SSD Managed Disks","IN Central","P6 LRS Disk","0.032256","0.329232"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/26/2025","39b0e164-2218-447c-9334-0ef622498186","Storage","Premium SSD Managed Disks","IN Central","P6 LRS Disk","0.032256","0.329232"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/27/2025","39b0e164-2218-447c-9334-0ef622498186","Storage","Premium SSD Managed Disks","IN Central","P6 LRS Disk","0.032256","0.329232"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/28/2025","39b0e164-2218-447c-9334-0ef622498186","Storage","Premium SSD Managed Disks","IN Central","P6 LRS Disk","0.032256","0.329232"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/29/2025","39b0e164-2218-447c-9334-0ef622498186","Storage","Premium SSD Managed Disks","IN Central","P6 LRS Disk","0.032256","0.329232"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/30/2025","39b0e164-2218-447c-9334-0ef622498186","Storage","Premium SSD Managed Disks","IN Central","P6 LRS Disk","0.032256","0.329232"
